items.name,items.quantity,items.price,storeLocation,customer.gender,purchaseMethod,saleDate
,,,San Diego,M,Online,2016-10-26T02:30:53.961Z
,,,New York,F,Phone,2014-05-26T13:24:26.492Z
,,,Austin,F,In store,2015-07-27T02:14:57.473Z
,,,Denver,F,In store,2015-07-28T11:01:01.135Z
,,,London,F,Online,2017-11-08T17:57:34.408Z
,,,Seattle,M,Online,2015-05-05T22:45:17.840Z
,,,Austin,F,In store,2017-11-08T22:11:18.963Z
,,,Denver,F,Online,2017-09-10T03:09:19.023Z
,,,Seattle,F,In store,2015-12-04T14:59:41.369Z
,,,New York,F,In store,2015-07-16T09:10:36.360Z
,,,Denver,F,In store,2017-01-29T03:07:00.940Z
,,,Austin,F,In store,2013-03-07T05:37:06.545Z
,,,London,F,In store,2017-02-15T16:12:36.485Z
,,,Seattle,M,Online,2015-12-05T19:44:57.817Z
,,,San Diego,F,In store,2015-02-28T00:40:10.197Z
,,,Austin,F,Online,2013-09-22T19:09:04.840Z
,,,London,F,Online,2015-12-27T11:22:45.052Z
,,,New York,M,Online,2015-12-17T17:38:43.030Z
,,,Austin,F,Phone,2015-10-26T18:20:09.664Z
,,,Denver,M,In store,2017-02-02T08:03:29.977Z
,,,Austin,M,In store,2015-08-01T14:06:07.694Z
,,,Seattle,F,In store,2013-01-21T20:50:40.989Z
,,,San Diego,M,In store,2015-11-27T17:28:57.696Z
,,,Denver,M,Online,2015-08-11T21:26:41.019Z
,,,Seattle,M,Phone,2017-10-24T14:01:32.556Z
,,,Denver,M,In store,2015-01-16T11:52:07.991Z
,,,Denver,M,In store,2017-01-25T14:41:15.614Z
,,,New York,F,Online,2016-05-20T14:01:29.501Z
,,,Austin,M,In store,2014-08-29T12:42:29.812Z
,,,San Diego,M,In store,2017-05-05T17:56:11.737Z
,,,New York,F,Online,2014-05-10T11:26:59.092Z
,,,Denver,F,Online,2014-07-30T09:08:46.012Z
,,,Denver,F,Online,2016-03-16T10:42:41.348Z
,,,San Diego,M,Online,2014-03-26T03:33:59.281Z
,,,San Diego,M,Phone,2017-12-05T18:33:56.396Z
,,,San Diego,M,In store,2015-10-24T23:33:58.623Z
,,,Denver,F,Online,2015-10-12T13:59:15.616Z
,,,Denver,M,Online,2015-08-07T23:39:38.573Z
,,,San Diego,M,In store,2013-08-24T01:18:02.562Z
,,,Austin,M,Online,2015-08-09T16:12:18.913Z
,,,Austin,F,Phone,2016-01-04T02:21:08.444Z
,,,Austin,F,Phone,2015-12-14T05:40:10.699Z
,,,Austin,F,In store,2015-03-31T10:18:20.627Z
,,,London,F,Online,2014-03-12T08:14:50.869Z
,,,Denver,F,Online,2015-07-31T23:33:04.736Z
,,,Seattle,F,In store,2015-12-09T12:56:24.823Z
,,,Denver,F,Online,2017-11-25T06:41:19.432Z
,,,London,M,Online,2015-02-17T20:52:41.520Z
,,,Denver,F,In store,2017-06-09T19:59:32.646Z
,,,Austin,M,In store,2017-12-01T11:22:37.427Z
,,,Denver,F,Phone,2017-03-18T14:50:27.925Z
,,,Denver,F,Online,2014-10-24T22:57:23.123Z
,,,Denver,M,Online,2014-03-17T20:35:55.711Z
,,,London,F,In store,2016-10-26T05:08:27.197Z
,,,San Diego,F,In store,2014-08-24T05:45:19.625Z
,,,Seattle,M,In store,2014-07-12T16:24:46.132Z
,,,Denver,F,In store,2015-01-10T00:19:25.959Z
,,,San Diego,F,In store,2016-01-08T03:57:30.870Z
,,,Seattle,M,Online,2015-01-24T18:50:33.454Z
,,,Austin,M,Phone,2016-01-11T12:01:46.089Z
,,,Seattle,F,In store,2015-10-16T06:20:04.595Z
,,,Denver,M,Online,2016-12-22T19:26:53.135Z
,,,Denver,M,In store,2013-12-09T00:53:13.782Z
,,,Seattle,M,In store,2015-10-27T02:55:08.752Z
,,,Seattle,F,In store,2013-11-24T10:14:59.391Z
,,,New York,M,In store,2017-04-07T23:58:57.581Z
,,,Austin,M,Online,2013-03-25T04:58:38.866Z
,,,Denver,M,Online,2017-02-09T08:44:04.030Z
,,,New York,F,In store,2014-08-09T06:24:09.244Z
,,,Seattle,M,In store,2017-10-12T03:45:56.199Z
,,,London,M,In store,2016-05-28T01:12:16.830Z
,,,Seattle,F,In store,2017-09-23T09:21:48.033Z
,,,Denver,F,In store,2014-03-28T06:26:50.111Z
,,,Denver,F,In store,2014-09-19T09:54:11.729Z
,,,New York,M,In store,2013-01-17T09:18:53.182Z
,,,Austin,F,Online,2014-02-04T03:46:41.315Z
,,,Denver,M,Online,2014-02-08T22:00:13.366Z
,,,Austin,M,In store,2017-07-03T17:35:53.292Z
,,,San Diego,F,In store,2017-03-21T04:19:31.609Z
,,,Austin,F,Online,2015-02-26T10:40:17.238Z
,,,Austin,M,Phone,2014-04-20T12:03:20.550Z
,,,Seattle,F,In store,2013-10-03T20:41:34.331Z
,,,Austin,M,Online,2017-02-19T06:35:13.636Z
,,,Denver,M,Phone,2016-11-26T18:48:19.794Z
,,,Denver,M,In store,2013-01-11T16:56:01.472Z
,,,Seattle,M,In store,2014-06-20T06:31:34.126Z
,,,Denver,F,In store,2015-02-25T04:44:06.282Z
,,,Austin,M,Phone,2017-11-29T10:26:11.422Z
,,,Denver,F,Phone,2017-04-02T19:06:16.542Z
,,,Denver,M,In store,2017-12-31T15:21:11.919Z
,,,Denver,F,In store,2014-04-19T10:27:15.472Z
,,,Austin,M,In store,2017-10-06T18:38:16.257Z
,,,San Diego,M,Online,2017-03-04T16:57:19.585Z
,,,Austin,M,In store,2013-07-29T10:13:56.794Z
,,,Austin,M,Online,2016-09-10T07:17:57.653Z
,,,London,F,In store,2014-09-12T22:33:07.549Z
,,,Denver,M,Online,2016-11-02T20:48:09.579Z
,,,Seattle,M,In store,2014-09-18T00:11:28.773Z
,,,Denver,M,In store,2014-10-15T18:48:55.395Z
,,,Denver,F,In store,2014-06-03T22:57:34.016Z
,,,Denver,F,In store,2016-12-06T16:55:43.334Z
,,,Denver,F,Phone,2017-06-11T16:30:48.256Z
,,,London,F,In store,2013-06-15T01:28:01.285Z
,,,Austin,F,In store,2016-06-04T19:26:18.609Z
,,,Denver,M,In store,2015-05-10T14:16:11.037Z
,,,Denver,F,Online,2014-08-08T21:39:23.128Z
,,,Seattle,F,In store,2017-08-22T18:14:57.535Z
,,,New York,M,In store,2016-08-28T02:28:55.000Z
,,,San Diego,F,In store,2014-06-28T17:35:20.574Z
,,,San Diego,M,In store,2014-08-22T04:06:28.217Z
,,,Denver,M,Online,2015-08-29T10:12:19.624Z
,,,New York,F,Online,2015-06-14T08:05:29.747Z
,,,Seattle,M,Online,2014-02-26T03:57:50.259Z
,,,London,F,In store,2016-09-27T02:49:27.748Z
,,,Seattle,M,In store,2017-05-27T04:39:04.831Z
,,,Denver,M,In store,2015-03-05T11:46:24.117Z
,,,Denver,F,In store,2016-03-24T17:18:58.991Z
,,,Seattle,F,Online,2013-08-27T00:37:51.354Z
,,,Denver,M,Phone,2015-01-06T05:24:40.725Z
,,,Seattle,F,Online,2015-12-05T06:13:56.044Z
,,,New York,F,In store,2016-05-02T08:41:20.030Z
,,,Denver,F,In store,2016-07-15T18:43:13.125Z
,,,Austin,F,Online,2013-01-25T06:19:16.379Z
,,,New York,M,Online,2013-12-13T01:49:34.137Z
,,,Denver,M,In store,2017-02-19T07:39:45.315Z
,,,Austin,F,In store,2017-04-23T01:24:16.797Z
,,,London,M,In store,2014-03-06T20:07:55.696Z
,,,London,F,In store,2014-05-23T22:35:50.990Z
,,,Seattle,M,Online,2016-10-06T08:24:05.625Z
,,,Denver,M,Online,2014-08-27T19:39:29.616Z
,,,Seattle,F,In store,2017-06-09T07:01:14.391Z
,,,Austin,M,In store,2015-07-20T08:20:34.418Z
,,,Austin,M,In store,2013-09-03T13:25:12.152Z
,,,Seattle,M,In store,2014-06-02T07:13:10.796Z
,,,Denver,M,In store,2017-01-17T08:43:51.535Z
,,,London,M,In store,2013-10-06T10:34:53.407Z
,,,Denver,F,Online,2014-01-19T00:30:00.647Z
,,,Denver,M,Phone,2017-07-18T20:39:33.861Z
,,,Denver,F,In store,2015-10-16T14:59:46.416Z
,,,Denver,F,In store,2015-11-23T11:15:01.403Z
,,,New York,F,Online,2013-07-02T07:55:28.207Z
,,,Austin,F,Online,2017-02-07T04:35:16.783Z
,,,New York,F,In store,2013-12-01T13:37:18.264Z
,,,Denver,M,In store,2014-04-09T20:42:19.428Z
,,,Seattle,M,In store,2014-11-21T15:53:58.853Z
,,,San Diego,M,Phone,2015-05-23T01:47:57.439Z
,,,Austin,M,In store,2014-02-07T02:45:31.640Z
,,,London,F,Online,2013-02-17T09:11:22.247Z
,,,New York,F,In store,2017-02-03T09:09:03.224Z
,,,Denver,M,Online,2017-02-24T18:02:53.095Z
,,,San Diego,M,In store,2017-10-30T05:51:30.867Z
,,,Austin,F,Phone,2017-08-16T17:08:18.445Z
,,,Seattle,M,Online,2016-02-08T05:39:00.513Z
,,,San Diego,F,Phone,2014-07-13T16:33:37.476Z
,,,Denver,M,Online,2016-05-31T17:35:24.806Z
,,,Denver,M,Online,2016-05-23T05:21:28.663Z
,,,Seattle,F,Online,2015-03-24T12:52:47.419Z
,,,Austin,M,In store,2016-03-24T02:23:51.447Z
,,,Denver,F,In store,2014-04-27T16:05:16.516Z
,,,Denver,M,Online,2014-12-08T20:12:56.100Z
,,,Denver,F,In store,2014-01-09T12:52:51.410Z
,,,London,F,In store,2014-11-22T15:10:32.587Z
,,,Seattle,F,In store,2014-06-12T05:59:59.455Z
,,,Austin,F,Online,2016-04-10T15:41:55.020Z
,,,Denver,F,Phone,2013-04-03T13:16:15.727Z
,,,Denver,M,Phone,2017-11-15T06:28:06.849Z
,,,Seattle,M,In store,2016-12-28T22:35:09.573Z
,,,Denver,M,Online,2014-05-10T23:54:23.182Z
,,,Denver,M,In store,2015-06-01T19:55:22.730Z
,,,Denver,M,Online,2016-12-05T09:54:45.417Z
,,,Denver,F,In store,2015-11-09T22:29:22.812Z
,,,San Diego,F,In store,2016-07-17T04:27:57.668Z
,,,San Diego,F,Phone,2017-08-07T15:06:17.300Z
,,,Denver,M,Online,2013-07-18T08:25:16.381Z
,,,Denver,F,In store,2016-01-20T16:15:01.179Z
,,,Seattle,M,In store,2017-12-15T08:36:17.306Z
,,,London,M,Phone,2017-11-27T12:04:15.504Z
,,,Austin,M,In store,2017-05-03T19:18:35.458Z
,,,Austin,F,In store,2016-12-15T23:25:50.310Z
,,,Denver,F,In store,2013-10-17T19:33:12.569Z
,,,San Diego,M,Online,2016-10-22T02:02:30.424Z
,,,San Diego,F,In store,2016-11-18T12:17:03.469Z
,,,London,F,In store,2015-07-30T06:58:58.882Z
,,,New York,F,In store,2016-01-10T00:38:41.258Z
,,,London,M,In store,2014-02-05T15:02:01.328Z
,,,New York,M,In store,2013-06-07T17:40:13.578Z
,,,San Diego,F,Phone,2015-07-19T06:25:56.702Z
,,,Denver,F,In store,2014-10-29T11:57:14.400Z
,,,Austin,F,Phone,2014-11-11T16:33:24.120Z
,,,Seattle,F,In store,2014-06-04T03:05:47.534Z
,,,Denver,F,In store,2016-08-21T21:16:13.674Z
,,,London,F,In store,2014-07-03T13:12:03.995Z
,,,Denver,F,In store,2016-08-23T12:50:53.063Z
,,,Denver,M,In store,2016-12-18T09:23:53.429Z
,,,New York,F,Online,2017-10-15T17:06:33.817Z
,,,Seattle,M,In store,2016-06-09T03:15:12.755Z
,,,Denver,F,Phone,2014-05-30T20:15:40.734Z
,,,Denver,F,Online,2015-06-29T01:11:01.952Z
,,,Seattle,M,Online,2015-08-09T02:22:47.551Z
,,,San Diego,M,In store,2015-04-21T18:41:34.626Z
,,,Austin,F,In store,2013-03-01T19:03:37.723Z
,,,Austin,M,Phone,2017-11-19T07:53:46.744Z
,,,London,M,In store,2015-07-30T22:38:39.623Z
,,,London,F,Online,2016-11-14T08:12:10.057Z
,,,Seattle,F,In store,2017-03-08T14:53:49.627Z
,,,Denver,F,In store,2015-02-20T19:39:04.001Z
,,,Seattle,M,Online,2014-12-04T01:08:21.301Z
,,,London,F,In store,2013-04-04T05:48:20.469Z
,,,London,M,Online,2014-06-22T22:39:23.630Z
,,,Denver,F,In store,2014-01-13T13:26:19.242Z
,,,Seattle,M,Online,2017-11-22T14:59:59.689Z
,,,Denver,M,Online,2016-06-18T18:34:52.914Z
,,,Denver,F,Online,2014-11-15T02:59:20.276Z
,,,Seattle,F,In store,2017-12-27T16:00:36.803Z
,,,Denver,F,Phone,2017-05-26T16:35:24.873Z
,,,London,M,Online,2015-08-22T01:23:45.557Z
,,,Seattle,F,In store,2017-06-23T16:28:18.024Z
,,,London,M,In store,2015-11-28T03:58:02.355Z
,,,New York,M,Phone,2017-06-18T00:02:17.874Z
,,,Austin,M,Phone,2016-12-25T16:09:03.585Z
,,,Denver,F,Online,2017-09-15T14:30:47.223Z
,,,Denver,M,In store,2015-10-25T01:02:55.099Z
,,,London,M,In store,2015-08-16T22:37:51.782Z
,,,Denver,F,In store,2016-05-21T04:42:22.125Z
,,,London,M,In store,2014-08-29T19:21:53.627Z
,,,Austin,M,In store,2015-08-12T18:01:37.832Z
,,,Austin,M,In store,2013-05-08T23:57:11.986Z
,,,Denver,F,In store,2015-02-04T16:16:04.581Z
,,,Austin,M,In store,2014-07-30T08:47:04.347Z
,,,Denver,F,Phone,2013-05-27T22:16:45.366Z
,,,New York,F,In store,2013-03-29T13:43:20.330Z
,,,Denver,F,Phone,2014-09-28T02:31:53.707Z
,,,San Diego,F,Phone,2015-11-29T16:18:32.653Z
,,,Seattle,M,In store,2015-07-11T21:44:58.637Z
,,,Austin,F,In store,2017-03-26T00:08:21.202Z
,,,Austin,M,Phone,2014-09-29T00:21:30.274Z
,,,Seattle,F,In store,2013-07-11T00:35:32.194Z
,,,London,F,Online,2017-02-26T11:40:02.212Z
,,,Seattle,M,In store,2013-08-12T16:27:44.894Z
,,,Denver,F,In store,2017-06-09T06:46:37.982Z
,,,Austin,M,Online,2016-11-29T20:25:15.055Z
,,,San Diego,M,Phone,2014-12-24T10:06:46.481Z
,,,London,M,In store,2013-11-24T11:44:29.257Z
,,,San Diego,M,Online,2014-11-02T22:46:00.364Z
,,,New York,M,Online,2014-11-17T01:56:53.532Z
,,,Seattle,M,In store,2017-04-17T09:52:58.250Z
,,,San Diego,F,Online,2017-03-29T08:12:54.347Z
,,,Denver,M,Online,2014-08-17T10:45:20.314Z
,,,London,F,In store,2013-10-06T16:14:18.431Z
,,,London,M,Online,2015-09-12T03:25:45.018Z
,,,New York,M,In store,2015-03-21T00:50:09.970Z
,,,New York,F,Online,2013-11-17T20:38:14.513Z
,,,San Diego,M,In store,2016-08-17T18:00:18.927Z
,,,Denver,M,Online,2013-03-24T20:11:06.975Z
,,,London,M,In store,2013-02-04T22:01:15.086Z
,,,Denver,F,Online,2014-04-15T04:32:27.154Z
,,,Seattle,F,In store,2013-05-25T18:56:35.846Z
,,,Seattle,M,Online,2016-03-17T10:51:57.009Z
,,,London,F,Phone,2017-01-11T22:34:18.820Z
,,,New York,M,Phone,2013-01-24T22:16:54.160Z
,,,Seattle,F,In store,2016-08-17T07:00:47.911Z
,,,Denver,F,In store,2013-02-02T18:35:09.919Z
,,,Denver,M,Online,2014-10-15T15:16:54.073Z
,,,London,F,In store,2014-10-11T01:05:12.086Z
,,,Denver,M,In store,2014-07-20T01:02:35.611Z
,,,San Diego,F,Online,2014-06-20T17:16:20.028Z
,,,Denver,F,In store,2014-08-16T10:11:21.270Z
,,,Denver,M,Online,2016-10-10T01:18:08.316Z
,,,Denver,F,In store,2013-10-31T11:58:44.094Z
,,,Austin,M,Phone,2016-09-09T23:33:42.837Z
,,,Seattle,M,In store,2015-10-15T23:13:48.134Z
,,,Denver,F,Phone,2013-11-27T13:12:38.137Z
,,,Seattle,M,In store,2014-02-18T04:44:41.874Z
,,,London,M,In store,2015-06-21T06:01:26.850Z
,,,San Diego,F,In store,2016-11-18T20:11:47.703Z
,,,London,F,In store,2017-07-02T18:55:38.073Z
,,,Austin,M,In store,2016-04-11T21:30:20.755Z
,,,Denver,F,Online,2016-12-26T00:23:31.682Z
,,,Austin,F,In store,2015-08-04T19:05:19.049Z
,,,New York,F,In store,2017-07-02T03:59:07.108Z
,,,Seattle,F,Phone,2013-04-05T22:00:08.770Z
,,,London,M,In store,2014-08-16T10:06:20.502Z
,,,Denver,M,In store,2017-11-20T16:20:37.509Z
,,,San Diego,M,Phone,2017-12-03T01:16:56.778Z
,,,Seattle,F,In store,2013-05-02T06:15:54.206Z
,,,Austin,M,In store,2017-11-22T13:08:12.931Z
,,,Denver,F,Online,2016-11-06T12:19:34.914Z
,,,London,M,Online,2015-08-24T13:40:16.508Z
,,,Denver,F,In store,2013-06-09T00:55:59.181Z
,,,London,M,In store,2017-01-13T03:02:21.458Z
,,,Denver,M,In store,2015-03-13T10:55:14.527Z
,,,Austin,M,In store,2013-05-28T19:17:27.712Z
,,,Denver,M,In store,2014-10-28T04:02:28.694Z
,,,Denver,M,Online,2015-12-07T12:53:03.924Z
,,,Denver,F,Online,2015-11-11T22:19:55.480Z
,,,Denver,M,In store,2016-08-11T18:09:18.255Z
,,,Denver,F,In store,2016-10-26T22:14:10.373Z
,,,Seattle,M,In store,2013-06-23T03:11:40.148Z
,,,New York,F,Online,2015-09-23T21:27:05.338Z
,,,Denver,M,In store,2017-03-01T08:30:23.891Z
,,,New York,M,In store,2013-11-17T02:06:06.385Z
,,,Seattle,F,Phone,2016-08-21T21:32:42.119Z
,,,New York,F,In store,2014-07-10T22:38:44.462Z
,,,Austin,M,In store,2016-06-26T07:17:44.827Z
,,,Seattle,M,Online,2014-10-01T10:22:21.152Z
,,,Denver,F,In store,2016-05-17T00:22:10.098Z
,,,Seattle,F,Phone,2017-07-14T13:21:08.974Z
,,,Seattle,F,Online,2016-10-05T00:34:47.650Z
,,,Seattle,M,In store,2015-11-15T04:35:45.237Z
,,,Denver,M,In store,2017-09-19T03:15:11.506Z
,,,London,M,In store,2016-07-26T23:52:41.326Z
,,,Denver,F,In store,2013-04-03T11:01:12.386Z
,,,Denver,M,In store,2015-09-29T10:10:44.667Z
,,,Seattle,M,Phone,2013-10-31T06:56:46.827Z
,,,London,M,Online,2013-05-20T15:38:18.977Z
,,,Seattle,M,In store,2017-02-01T03:36:14.834Z
,,,Seattle,M,In store,2015-02-20T00:21:22.985Z
,,,Seattle,F,In store,2016-06-05T16:57:53.503Z
,,,Denver,M,Phone,2017-09-10T17:18:01.592Z
,,,Seattle,F,In store,2015-01-25T08:30:39.387Z
,,,Denver,M,In store,2015-01-21T17:45:36.822Z
,,,Denver,F,Online,2013-06-22T13:32:14.878Z
,,,Austin,F,In store,2017-03-31T05:36:36.236Z
,,,Denver,F,In store,2014-11-07T22:45:31.877Z
,,,London,F,In store,2017-11-28T10:11:58.188Z
,,,Denver,F,In store,2016-09-06T18:09:16.398Z
,,,Austin,F,In store,2015-06-10T20:15:43.063Z
,,,London,M,Online,2015-01-12T20:11:53.151Z
,,,Austin,M,In store,2017-12-08T01:19:22.955Z
,,,Austin,F,Online,2017-05-23T09:16:05.037Z
,,,Austin,M,Phone,2015-05-23T15:30:40.185Z
,,,Seattle,M,Phone,2014-07-12T11:37:25.017Z
,,,London,M,In store,2013-08-29T11:15:07.212Z
,,,Seattle,F,Online,2017-09-08T05:46:17.576Z
,,,Austin,M,Online,2017-02-07T02:46:09.006Z
,,,London,F,In store,2016-12-06T16:43:11.046Z
,,,Denver,F,In store,2016-07-12T15:14:40.399Z
,,,Austin,M,In store,2014-05-09T15:37:34.469Z
,,,Seattle,M,In store,2014-10-28T09:01:42.169Z
,,,London,M,In store,2014-04-19T17:30:50.198Z
,,,Denver,M,Online,2017-05-22T12:03:11.412Z
,,,Denver,M,Online,2013-01-19T13:35:06.145Z
,,,Denver,F,In store,2016-08-12T03:01:29.536Z
,,,Denver,M,Online,2017-04-07T21:15:12.462Z
,,,Seattle,F,Online,2016-03-23T17:51:31.559Z
,,,Austin,F,In store,2013-12-15T14:52:53.204Z
,,,Denver,M,Online,2017-10-05T23:25:20.178Z
,,,Austin,F,In store,2016-10-29T17:11:40.608Z
,,,London,F,In store,2016-11-08T11:42:52.162Z
,,,Seattle,M,In store,2014-03-30T16:39:46.462Z
,,,Denver,F,In store,2017-08-11T20:27:06.871Z
,,,Seattle,F,Online,2015-01-04T00:46:26.739Z
,,,London,M,In store,2016-09-27T23:21:12.263Z
,,,New York,F,In store,2017-05-24T16:32:34.793Z
,,,London,F,Online,2016-02-14T04:21:32.321Z
,,,London,F,In store,2017-01-08T07:09:15.837Z
,,,London,M,In store,2015-12-28T21:28:16.638Z
,,,London,F,In store,2017-04-22T22:14:01.622Z
,,,Seattle,F,In store,2014-04-06T01:42:57.706Z
,,,Denver,F,In store,2017-12-25T16:01:17.753Z
,,,San Diego,F,In store,2015-05-31T06:05:37.186Z
,,,London,F,Phone,2014-07-13T18:51:29.494Z
,,,Seattle,F,In store,2016-04-28T21:04:57.135Z
,,,Seattle,F,In store,2016-10-26T12:42:52.231Z
,,,New York,F,Online,2016-05-16T21:33:28.544Z
,,,New York,M,Phone,2017-08-31T06:00:03.303Z
,,,Austin,F,In store,2016-08-18T01:14:17.377Z
,,,New York,F,In store,2013-08-08T21:47:23.066Z
,,,Austin,F,Online,2016-03-08T17:30:31.791Z
,,,Seattle,M,In store,2013-09-06T14:13:50.367Z
,,,Seattle,M,In store,2016-04-24T07:42:39.673Z
,,,Seattle,M,In store,2017-05-14T23:34:40.370Z
,,,Seattle,M,Online,2016-11-19T04:11:26.570Z
,,,Denver,F,In store,2014-03-10T12:46:50.901Z
,,,Seattle,M,In store,2014-08-09T09:08:18.203Z
,,,Denver,F,Online,2013-07-04T15:09:03.596Z
,,,New York,M,Online,2015-06-18T09:58:39.865Z
,,,Denver,F,Online,2015-12-07T17:49:55.133Z
,,,Seattle,M,Online,2016-03-18T07:16:33.844Z
,,,New York,M,In store,2017-12-02T00:20:25.340Z
,,,Denver,M,Online,2013-06-30T08:46:11.223Z
,,,San Diego,F,Online,2015-02-11T02:09:39.930Z
,,,Seattle,M,Online,2017-05-09T10:33:28.756Z
,,,Denver,F,In store,2016-07-30T09:31:42.828Z
,,,San Diego,M,Online,2015-08-15T23:15:17.368Z
,,,London,M,In store,2013-02-20T09:55:20.447Z
,,,Seattle,F,In store,2016-06-29T11:58:40.662Z
,,,London,F,Phone,2014-12-07T08:00:53.964Z
,,,Denver,M,Online,2014-05-06T20:20:42.962Z
,,,Denver,M,Online,2017-01-02T11:28:06.613Z
,,,Austin,M,In store,2017-07-21T05:23:19.264Z
,,,New York,M,In store,2014-12-11T21:39:47.253Z
,,,Seattle,F,In store,2014-07-23T20:07:31.566Z
,,,Denver,M,In store,2016-02-12T05:25:42.468Z
,,,Seattle,M,In store,2017-03-20T10:41:23.649Z
,,,New York,F,Online,2016-09-21T04:36:15.038Z
,,,San Diego,F,Online,2017-06-18T23:32:34.938Z
,,,Denver,F,In store,2016-08-12T00:03:18.403Z
,,,Denver,M,In store,2014-05-22T17:53:56.647Z
,,,San Diego,M,Online,2017-04-18T22:28:21.561Z
,,,Denver,M,In store,2016-05-02T15:07:29.497Z
,,,London,F,In store,2014-06-13T13:52:43.501Z
,,,Seattle,F,In store,2015-03-16T03:58:12.228Z
,,,San Diego,F,Phone,2015-09-30T17:12:33.202Z
,,,Denver,F,In store,2015-01-27T08:55:00.076Z
,,,Denver,F,Online,2017-08-25T22:14:24.352Z
,,,Austin,M,Online,2014-04-21T22:10:11.405Z
,,,New York,M,In store,2016-01-29T17:27:31.408Z
,,,Seattle,M,In store,2017-12-31T01:49:08.582Z
,,,Seattle,M,In store,2014-10-06T17:34:23.175Z
,,,London,M,In store,2017-11-07T10:50:16.049Z
,,,Seattle,F,In store,2017-09-11T06:11:56.032Z
,,,Denver,M,In store,2013-08-24T22:05:17.704Z
,,,Denver,F,Phone,2016-07-13T05:05:04.032Z
,,,New York,F,Online,2016-01-17T05:52:14.711Z
,,,San Diego,M,Online,2015-05-16T11:40:21.923Z
,,,Denver,M,Phone,2014-07-03T01:47:18.704Z
,,,Denver,F,Online,2015-03-16T12:39:33.228Z
,,,Denver,M,In store,2013-06-18T23:37:44.684Z
,,,New York,F,In store,2015-08-20T11:22:40.529Z
,,,Austin,M,In store,2017-03-02T06:32:14.270Z
,,,Austin,M,In store,2013-09-12T00:37:03.179Z
,,,Austin,M,In store,2013-03-24T11:58:47.848Z
,,,Denver,F,In store,2015-04-11T07:54:06.809Z
,,,Seattle,F,Phone,2016-10-29T21:27:24.214Z
,,,Seattle,F,In store,2014-02-14T22:53:37.446Z
,,,Austin,M,Online,2014-08-28T05:07:59.779Z
,,,San Diego,F,In store,2014-04-24T05:18:38.826Z
,,,San Diego,M,Online,2015-08-31T17:58:23.323Z
,,,Denver,F,In store,2013-03-04T16:37:37.830Z
,,,Seattle,F,Online,2016-11-24T08:16:25.275Z
,,,Denver,M,Online,2015-02-23T09:37:58.595Z
,,,Seattle,F,In store,2016-04-12T08:21:15.601Z
,,,Austin,M,Online,2015-01-25T09:17:26.842Z
,,,Seattle,M,Online,2014-05-09T19:15:39.629Z
,,,London,F,In store,2014-12-24T21:48:44.443Z
,,,Seattle,M,Online,2017-12-21T00:05:50.577Z
,,,Denver,M,In store,2013-11-05T23:17:16.638Z
,,,Austin,M,In store,2014-03-21T01:57:15.840Z
,,,San Diego,F,In store,2015-08-20T23:07:30.841Z
,,,Denver,M,In store,2014-01-16T06:06:45.799Z
,,,Austin,M,In store,2013-01-07T12:32:40.344Z
,,,London,M,In store,2017-02-28T15:28:39.919Z
,,,Seattle,M,Online,2017-03-07T09:45:23.099Z
,,,London,M,Online,2015-09-26T00:14:41.588Z
,,,Denver,M,Online,2016-12-01T03:33:10.919Z
,,,Denver,M,In store,2016-01-03T07:18:22.644Z
,,,London,M,Online,2014-12-03T08:01:51.290Z
,,,New York,M,Online,2014-10-05T00:29:51.882Z
,,,Austin,M,In store,2015-04-15T10:43:17.983Z
,,,London,F,In store,2013-12-18T19:37:37.223Z
,,,Seattle,F,Online,2014-04-15T11:53:07.902Z
,,,Austin,F,Phone,2017-11-29T16:59:36.431Z
,,,San Diego,F,Online,2015-01-11T00:03:22.019Z
,,,London,F,Phone,2013-07-04T20:56:47.562Z
,,,Denver,M,Online,2016-09-12T20:56:33.267Z
,,,London,F,In store,2014-05-16T10:32:34.847Z
,,,Austin,M,In store,2017-11-07T05:41:48.385Z
,,,Denver,F,In store,2016-12-19T19:14:06.914Z
,,,Austin,M,In store,2016-01-10T15:00:44.127Z
,,,San Diego,F,Online,2013-10-13T11:58:02.781Z
,,,Denver,F,Phone,2015-12-15T05:31:59.290Z
,,,Seattle,M,In store,2017-07-20T17:14:36.590Z
,,,Denver,F,In store,2015-12-12T05:14:43.266Z
,,,London,M,In store,2017-10-27T14:22:36.911Z
,,,Seattle,M,In store,2015-07-03T15:29:05.152Z
,,,San Diego,M,Online,2016-06-26T16:35:07.481Z
,,,Denver,M,Phone,2013-05-15T04:08:36.279Z
,,,Seattle,F,In store,2015-05-14T06:21:20.463Z
,,,London,M,Online,2015-09-17T04:20:33.875Z
,,,Seattle,M,In store,2017-01-15T21:32:07.841Z
,,,Seattle,M,Online,2014-04-27T15:16:14.986Z
,,,Denver,F,In store,2015-02-16T14:08:45.217Z
,,,New York,M,In store,2014-12-24T22:21:35.234Z
,,,Denver,F,Online,2017-05-08T10:08:36.958Z
,,,Denver,F,Online,2013-07-07T07:55:02.291Z
,,,Seattle,M,Online,2014-03-07T13:55:32.942Z
,,,San Diego,M,In store,2013-01-19T09:20:08.418Z
,,,Seattle,F,In store,2016-07-27T04:42:11.631Z
,,,London,M,In store,2016-05-03T23:44:14.342Z
